model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
396,0.128291955,0.8697,0.7748,0.94
397,0.129914347,0.8709,0.7746,0.9397
398,0.127084689,0.873,0.7781,0.9398
399,0.129794199,0.8658,0.769,0.9392
400,0.125734562,0.8721,0.7779,0.9408
401,0.129318289,0.86,0.7602,0.9386
402,0.130224066,0.8735,0.7787,0.9392
403,0.133645812,0.8654,0.7682,0.9372
404,0.131948107,0.87,0.774,0.9382
405,0.135479955,0.8642,0.7658,0.9375
406,0.130685833,0.8683,0.7719,0.9397
407,0.132162108,0.8673,0.7708,0.9392
408,0.129322455,0.8628,0.7643,0.9396
409,0.134511841,0.8655,0.7676,0.9383
410,0.128910454,0.8731,0.7777,0.9408
411,0.134392143,0.8602,0.7598,0.9378
412,0.128729955,0.8685,0.7716,0.9392
413,0.130310938,0.8659,0.7689,0.9387
414,0.128226805,0.872,0.7778,0.9396
415,0.12566409,0.8769,0.786,0.9409
416,0.12777586,0.8741,0.7805,0.9405
417,0.125646534,0.8748,0.7814,0.9413
418,0.133716824,0.8644,0.7678,0.9389
419,0.13090038,0.8671,0.77,0.9387
420,0.133409341,0.8657,0.7693,0.9387
421,0.131930883,0.8653,0.7676,0.9388
422,0.14255516,0.854,0.7509,0.9349
423,0.133360368,0.8587,0.7593,0.9383
424,0.130940361,0.8593,0.7606,0.939
425,0.126795549,0.8667,0.77,0.9405
426,0.132096158,0.8704,0.7746,0.9392
427,0.134373353,0.8675,0.7717,0.9384
428,0.127154709,0.8695,0.7743,0.941
429,0.133861481,0.863,0.7627,0.937
430,0.133756028,0.8638,0.7671,0.9388
431,0.128638723,0.8667,0.7703,0.9404
432,0.137901861,0.8526,0.7494,0.9357
433,0.130460756,0.8656,0.7671,0.9385
434,0.126865017,0.8739,0.7797,0.9399
435,0.136496184,0.8642,0.7645,0.9363
436,0.128746735,0.8649,0.7693,0.9396
437,0.131980881,0.8634,0.7654,0.9372
438,0.131569257,0.8648,0.7674,0.939
439,0.126313702,0.8764,0.785,0.9414
440,0.1300866,0.864,0.7667,0.94
441,0.133590179,0.8629,0.7621,0.9384
442,0.124669378,0.8738,0.7796,0.9402
443,0.125958482,0.8669,0.7701,0.9403
444,0.137585343,0.8557,0.7552,0.9369
445,0.129219228,0.8731,0.7786,0.9405
446,0.123429172,0.869,0.7742,0.9403
447,0.130792379,0.8662,0.77,0.9399
448,0.132108739,0.8669,0.7693,0.9388
449,0.13780947,0.852,0.7486,0.9364
450,0.130148579,0.8648,0.7666,0.9391
451,0.132013874,0.8669,0.77,0.9389
452,0.13293584,0.8634,0.7671,0.939
453,0.128986645,0.8712,0.7758,0.9404
454,0.130653128,0.8685,0.771,0.94
455,0.138128082,0.861,0.7599,0.937
456,0.130159502,0.8679,0.7708,0.9402
457,0.133654197,0.8643,0.7669,0.9385
458,0.127793039,0.87,0.7747,0.9392
459,0.128789346,0.872,0.7761,0.9394
460,0.127063929,0.8705,0.7759,0.94
461,0.135355123,0.8652,0.7669,0.9386
462,0.133400683,0.8657,0.7673,0.9385
463,0.129715335,0.8679,0.7703,0.9401
464,0.128247309,0.867,0.77,0.9402
465,0.132848171,0.8607,0.7596,0.9376
466,0.13578569,0.8572,0.7561,0.937
467,0.139201113,0.8565,0.7542,0.9362
468,0.135286229,0.8639,0.7648,0.9375
469,0.12839751,0.872,0.777,0.9397
470,0.127869971,0.8726,0.778,0.9413
471,0.133888455,0.8644,0.766,0.9392
472,0.131230386,0.8632,0.7638,0.9386
473,0.134404632,0.8589,0.7582,0.9375
474,0.1267373,0.8741,0.7797,0.9403
475,0.130280386,0.8669,0.7696,0.9395
476,0.129629655,0.8678,0.7702,0.9396
477,0.131759355,0.8705,0.7745,0.9393
478,0.127444714,0.8659,0.7685,0.9393
479,0.129513808,0.8712,0.7761,0.9401
480,0.13012284,0.867,0.7697,0.94
481,0.126187857,0.8709,0.7751,0.9412
482,0.125406347,0.8759,0.7822,0.9411
483,0.130974709,0.8667,0.7696,0.9389
484,0.132608955,0.8611,0.7617,0.9381
485,0.128207259,0.8705,0.7747,0.9398
486,0.12433245,0.8724,0.7785,0.942
487,0.126612981,0.8699,0.7759,0.9415
488,0.131205213,0.8691,0.773,0.9395
489,0.131025732,0.8746,0.7806,0.9394
490,0.131703517,0.8626,0.7643,0.939
491,0.132932568,0.8641,0.7648,0.9385
492,0.129473898,0.8702,0.7744,0.9402
493,0.126879258,0.8754,0.7825,0.9411
494,0.127237177,0.8691,0.7733,0.9403
495,0.12889356,0.8667,0.7696,0.9395
496,0.133196693,0.8658,0.7668,0.9382
497,0.125933845,0.8738,0.78,0.9408
498,0.129116882,0.8657,0.7678,0.9394
499,0.127147819,0.8699,0.7744,0.94
500,0.130336119,0.866,0.7684,0.9386
501,0.127687695,0.8675,0.7717,0.94
502,0.128241158,0.8685,0.7724,0.94
503,0.128025745,0.8664,0.7676,0.9395
504,0.123025571,0.8726,0.7784,0.9421
505,0.127014402,0.8695,0.7728,0.9405
506,0.125844367,0.8703,0.7746,0.9408
507,0.124858043,0.8715,0.7771,0.9412
508,0.126512202,0.8753,0.7823,0.9412
509,0.133301937,0.864,0.764,0.9383
510,0.126384912,0.8718,0.7754,0.9406
511,0.126180542,0.8716,0.7776,0.9403
512,0.123757632,0.8759,0.783,0.9414
513,0.128053,0.8694,0.7724,0.9405
514,0.125522888,0.876,0.7833,0.9414
515,0.126570785,0.8698,0.7739,0.9408
516,0.124790285,0.8756,0.7824,0.9418
