model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
1,0.379121519,0.622,0.4692,0.8577
2,0.332964771,0.6368,0.4851,0.8627
3,0.2888616,0.6708,0.5223,0.8791
4,0.297069229,0.6967,0.5443,0.8841
5,0.270837849,0.7471,0.6033,0.8941
6,0.263789207,0.7129,0.5692,0.8899
7,0.280933495,0.6855,0.5333,0.888
8,0.252087122,0.7065,0.56,0.889
9,0.247327446,0.7448,0.6045,0.9006
10,0.289848843,0.7297,0.5871,0.8893
11,0.258974101,0.6704,0.519,0.8868
12,0.240840859,0.7438,0.602,0.897
13,0.244856407,0.7469,0.6075,0.8999
14,0.228443828,0.7542,0.615,0.902
15,0.235604521,0.7656,0.6319,0.9053
16,0.221671403,0.763,0.6268,0.9033
17,0.251180472,0.7476,0.6091,0.8995
18,0.233361775,0.7552,0.6157,0.9026
19,0.234313642,0.7258,0.5833,0.8971
20,0.238282749,0.7418,0.5983,0.9015
21,0.221012864,0.766,0.6284,0.9061
22,0.215446044,0.7527,0.6142,0.9039
23,0.233015856,0.7479,0.6049,0.9002
24,0.232487693,0.7315,0.5892,0.8987
25,0.216190456,0.7889,0.6598,0.9113
26,0.223032756,0.7696,0.6352,0.9071
27,0.225517798,0.7468,0.6052,0.9036
28,0.255990497,0.7017,0.5529,0.8912
29,0.223524418,0.7314,0.5857,0.9008
30,0.198437171,0.7805,0.6493,0.9115
31,0.200028939,0.7881,0.6588,0.9144
32,0.225206453,0.7578,0.6188,0.9048
33,0.204455837,0.779,0.6499,0.9111
34,0.199491187,0.8044,0.6805,0.9137
35,0.219024718,0.7685,0.6317,0.9081
36,0.208712311,0.7852,0.6548,0.9117
37,0.198236586,0.7825,0.6534,0.9131
38,0.197051809,0.7901,0.6596,0.9142
39,0.186533874,0.8038,0.6789,0.9164
40,0.208504941,0.7876,0.6589,0.9133
41,0.198828119,0.8011,0.6752,0.9143
42,0.200939742,0.7787,0.647,0.9121
43,0.198291991,0.8002,0.6786,0.9153
44,0.216508218,0.7597,0.6253,0.9071
45,0.201171047,0.7889,0.6609,0.9125
46,0.184495064,0.8056,0.6824,0.9194
47,0.176789165,0.7991,0.6746,0.9196
48,0.206876176,0.7815,0.6496,0.9108
49,0.175701238,0.8112,0.6901,0.9206
50,0.187383765,0.7947,0.6666,0.914
51,0.185218306,0.7964,0.6687,0.9159
52,0.206036566,0.7794,0.6474,0.9107
53,0.221716979,0.7501,0.6119,0.9042
54,0.19739615,0.8027,0.6792,0.9156
55,0.196082507,0.7785,0.6467,0.9107
56,0.212997854,0.7723,0.6381,0.9078
57,0.192583624,0.7912,0.6628,0.9141
58,0.188575819,0.8164,0.6939,0.9112
59,0.177953558,0.8141,0.6945,0.9202
60,0.205566548,0.7885,0.6589,0.9092
61,0.192247473,0.801,0.675,0.9161
62,0.183040565,0.8121,0.6899,0.92
63,0.172788658,0.8205,0.7042,0.9215
64,0.178686114,0.8098,0.6881,0.9215
65,0.198627203,0.8063,0.6826,0.9155
66,0.172729499,0.8203,0.7014,0.9217
67,0.177238442,0.8187,0.7,0.9215
68,0.213915825,0.7744,0.6434,0.9123
69,0.213351629,0.759,0.624,0.9073
70,0.167286238,0.8163,0.6971,0.9214
71,0.172849267,0.8222,0.7066,0.9231
72,0.176305098,0.807,0.6841,0.9202
73,0.188792517,0.8082,0.6852,0.9196
74,0.213606703,0.7791,0.649,0.9118
75,0.19540481,0.7803,0.6496,0.9117
76,0.163662949,0.8312,0.7179,0.9257
77,0.189895442,0.8117,0.6925,0.9204
78,0.178119227,0.8101,0.6912,0.9215
79,0.17843724,0.8227,0.7051,0.9221
80,0.178013467,0.8203,0.7024,0.9195
81,0.18538551,0.8038,0.6815,0.9179
82,0.184255764,0.8159,0.6974,0.9188
83,0.182711053,0.8048,0.6843,0.9191
84,0.178614338,0.8132,0.6943,0.9221
85,0.162309464,0.8362,0.7265,0.9271
86,0.173028337,0.83,0.7142,0.9215
87,0.171719795,0.8216,0.7044,0.9228
88,0.165947862,0.8295,0.714,0.9241
89,0.160693968,0.8333,0.7186,0.9268
90,0.163920448,0.8225,0.7083,0.9261
91,0.168399902,0.8163,0.6984,0.9228
92,0.164959886,0.8318,0.719,0.924
93,0.155750076,0.8364,0.7257,0.928
94,0.179228265,0.8062,0.6853,0.9195
95,0.160063548,0.8313,0.7191,0.927
96,0.163508506,0.8257,0.7079,0.9243
97,0.165711136,0.8069,0.6855,0.9194
98,0.174394171,0.8388,0.7258,0.9237
99,0.169950443,0.8179,0.7014,0.9243
100,0.171690785,0.8423,0.7328,0.9275
101,0.148890156,0.8494,0.7447,0.932
102,0.160540793,0.8283,0.7136,0.9251
103,0.159299351,0.8327,0.7203,0.9264
104,0.172108144,0.823,0.7055,0.9213
105,0.156012534,0.8297,0.7139,0.9256
106,0.15484309,0.836,0.7247,0.9288
107,0.174672085,0.809,0.6903,0.9216
108,0.165126295,0.8295,0.715,0.9243
109,0.178661816,0.8108,0.6902,0.9199
110,0.178374444,0.8077,0.6867,0.9185
111,0.166265479,0.8197,0.7007,0.9239
112,0.170356923,0.8449,0.7356,0.9248
113,0.181880345,0.8079,0.6828,0.9181
114,0.160368017,0.8315,0.719,0.9265
115,0.148831662,0.8501,0.7432,0.9313
116,0.173894667,0.8085,0.6857,0.9203
117,0.164093992,0.8341,0.721,0.9245
118,0.175284834,0.8086,0.6876,0.9202
119,0.159118856,0.8369,0.7259,0.9281
120,0.161396299,0.8376,0.7256,0.9269
121,0.169889535,0.8199,0.7019,0.9216
122,0.165329558,0.8138,0.6943,0.9228
123,0.168232903,0.8189,0.6999,0.9216
124,0.153810523,0.839,0.7297,0.9278
125,0.171731945,0.8125,0.6936,0.9219
126,0.171396426,0.8118,0.6908,0.9216
127,0.165799028,0.8311,0.7159,0.9251
128,0.168774189,0.8166,0.698,0.9239
129,0.153077119,0.8342,0.7222,0.9295
130,0.178033906,0.8236,0.7071,0.922
131,0.160756121,0.8231,0.7085,0.9253
132,0.159844521,0.8374,0.7269,0.9262
133,0.157306672,0.8332,0.7205,0.9285
134,0.165953529,0.8209,0.7042,0.9241
135,0.149976045,0.843,0.7344,0.9295
136,0.152563977,0.8483,0.7414,0.9291
137,0.184125531,0.7946,0.6699,0.9173
138,0.14898442,0.8439,0.7351,0.9304
139,0.159056008,0.8287,0.7134,0.926
140,0.146734978,0.8478,0.7412,0.9306
141,0.173370422,0.8206,0.7045,0.921
142,0.163374842,0.8299,0.7167,0.9263
143,0.169898564,0.8066,0.6855,0.9199
144,0.147800433,0.8467,0.7398,0.9332
145,0.170379824,0.7853,0.6582,0.9164
146,0.152903198,0.8449,0.7364,0.9298
147,0.162049272,0.8219,0.7055,0.9254
148,0.148949301,0.8413,0.7318,0.9311
149,0.173607893,0.8095,0.6883,0.9208
150,0.15200977,0.8419,0.733,0.9302
151,0.152053549,0.8405,0.7317,0.9293
152,0.15075437,0.8529,0.7476,0.9317
153,0.164661369,0.8268,0.7117,0.925
154,0.15411419,0.8448,0.7351,0.929
155,0.174791525,0.8031,0.6831,0.9195
156,0.161992691,0.8265,0.7103,0.926
157,0.165113819,0.8222,0.7061,0.9246
158,0.158527319,0.8311,0.7174,0.9253
159,0.145917123,0.8552,0.7522,0.932
160,0.173288318,0.8183,0.7016,0.9225
161,0.153414499,0.8391,0.7282,0.9271
162,0.152681675,0.8438,0.7348,0.9285
163,0.156105901,0.8488,0.7427,0.9287
164,0.147763219,0.844,0.7362,0.9322
165,0.152425958,0.8417,0.7324,0.9296
166,0.151834376,0.845,0.7375,0.9302
167,0.176628644,0.8244,0.7087,0.9237
168,0.189834209,0.7978,0.6741,0.9188
169,0.152674619,0.84,0.7304,0.9299
170,0.177834488,0.8092,0.6879,0.9219
171,0.155943968,0.842,0.7337,0.929
172,0.151822309,0.8544,0.7497,0.9322
173,0.167797344,0.8275,0.7111,0.9243
174,0.145327064,0.8462,0.7378,0.9313
175,0.159990972,0.8211,0.703,0.9241
176,0.142167942,0.8524,0.749,0.934
177,0.141720065,0.855,0.7516,0.9354
178,0.150082597,0.8544,0.75,0.9329
179,0.146029054,0.8483,0.7412,0.933
180,0.163438405,0.8187,0.7018,0.9242
181,0.153938019,0.8548,0.7508,0.9298
182,0.160807847,0.8306,0.7189,0.9265
183,0.177205374,0.8046,0.6851,0.9199
184,0.154851781,0.8396,0.7281,0.9302
185,0.147064217,0.8498,0.7439,0.932
186,0.156337106,0.8327,0.7204,0.9266
187,0.166375371,0.8162,0.697,0.9227
188,0.153521197,0.847,0.7395,0.9279
189,0.144252424,0.8552,0.7521,0.9336
190,0.151897483,0.8458,0.7368,0.9267
191,0.143602054,0.854,0.75,0.9342
192,0.14482203,0.8502,0.7456,0.9337
193,0.147634677,0.8449,0.737,0.9332
194,0.143637007,0.8503,0.7432,0.9321
195,0.161509297,0.8406,0.7323,0.9281
196,0.142191964,0.856,0.7535,0.9344
197,0.160213231,0.8286,0.7139,0.9262
198,0.152699605,0.8475,0.7414,0.9306
199,0.144217614,0.8428,0.7358,0.9332
200,0.150397116,0.8402,0.7321,0.9296
201,0.148259722,0.8419,0.7328,0.9307
202,0.140592363,0.86,0.7585,0.9349
203,0.146707609,0.8501,0.7463,0.9318
204,0.148377591,0.8502,0.7443,0.9325
205,0.141525973,0.8605,0.7591,0.9343
206,0.143113308,0.8588,0.7575,0.9368
207,0.144275212,0.8597,0.7579,0.9331
208,0.144524127,0.8507,0.7457,0.9335
209,0.144810483,0.8502,0.7445,0.9323
210,0.145853099,0.855,0.7512,0.934
211,0.152918987,0.8344,0.7238,0.9279
212,0.157707014,0.8295,0.7139,0.926
213,0.140274725,0.8546,0.7511,0.9336
214,0.147351096,0.8447,0.7375,0.9316
215,0.143168777,0.8431,0.7363,0.9343
216,0.140431183,0.8533,0.7487,0.9334
217,0.140883398,0.8504,0.747,0.9339
218,0.136784908,0.8568,0.7538,0.936
219,0.139828255,0.855,0.7514,0.9331
220,0.140196744,0.8527,0.7477,0.9331
221,0.139114873,0.857,0.7551,0.9355
222,0.146977913,0.8473,0.7414,0.9316
223,0.139374443,0.8596,0.7596,0.9347
224,0.137869124,0.8575,0.756,0.9363
225,0.144684723,0.8506,0.7454,0.9342
226,0.143290237,0.8567,0.7543,0.9341
227,0.185328745,0.7885,0.6643,0.9147
228,0.152325351,0.8393,0.7327,0.9295
229,0.139556112,0.8595,0.7583,0.9345
230,0.13989846,0.8576,0.755,0.9341
231,0.141873317,0.8501,0.746,0.933
232,0.149295441,0.8443,0.7377,0.9306
233,0.150226388,0.8433,0.7352,0.9299
234,0.149962003,0.8403,0.732,0.9307
235,0.138008414,0.8638,0.7654,0.9362
236,0.132868674,0.8631,0.7651,0.9373
237,0.14283621,0.8485,0.7417,0.9324
238,0.152644383,0.8381,0.7273,0.9279
239,0.142465658,0.8534,0.7488,0.9343
240,0.174515351,0.8071,0.6886,0.9196
241,0.143614287,0.8504,0.7461,0.9335
242,0.137224057,0.8562,0.7529,0.9344
243,0.141229964,0.8524,0.7484,0.9347
244,0.138739989,0.8566,0.753,0.9338
245,0.15246533,0.8345,0.7239,0.9277
246,0.143794012,0.855,0.7519,0.9339
247,0.138409757,0.8575,0.7552,0.9347
248,0.137530279,0.8544,0.7508,0.9355
249,0.141797197,0.8508,0.7468,0.9339
250,0.139597126,0.8514,0.7472,0.9343
251,0.137866957,0.8564,0.7537,0.9349
252,0.160718013,0.8198,0.7016,0.9246
253,0.138184841,0.8573,0.7555,0.9364
254,0.144498651,0.8479,0.7426,0.9324
255,0.140106464,0.848,0.7418,0.9332
256,0.132853085,0.8619,0.7622,0.9355
257,0.143481532,0.8451,0.7383,0.9332
258,0.139509417,0.8576,0.7564,0.9339
259,0.134997757,0.8604,0.7591,0.937
260,0.1335574,0.8611,0.7609,0.9361
261,0.136425455,0.8571,0.7574,0.9349
262,0.134199093,0.8608,0.7609,0.9371
263,0.135572372,0.8583,0.7579,0.9375
264,0.151780925,0.8333,0.7198,0.9289
265,0.148750495,0.8486,0.7415,0.9328
