model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
197,0.642818185,0.8128,0.6892,0.9111
198,0.642138099,0.8004,0.6722,0.9051
199,0.641850551,0.7973,0.6697,0.9036
200,0.641796365,0.7902,0.6604,0.9
201,0.645987029,0.7083,0.5556,0.8447
202,0.642748766,0.7796,0.6466,0.8926
203,0.642380349,0.7586,0.6204,0.8835
204,0.642233897,0.7968,0.671,0.9039
205,0.641556383,0.792,0.6627,0.9032
206,0.64204843,0.7944,0.6654,0.9034
207,0.646175717,0.7418,0.6009,0.8702
208,0.642658132,0.7925,0.6626,0.9
209,0.642933514,0.7955,0.6664,0.9029
210,0.641216826,0.8211,0.7058,0.9177
211,0.645280617,0.7327,0.5899,0.8688
212,0.643883295,0.7791,0.6458,0.8982
213,0.641989146,0.7346,0.589,0.8631
214,0.641858284,0.8096,0.6871,0.9125
215,0.642340783,0.8156,0.6948,0.915
216,0.642664191,0.8226,0.7047,0.9209
217,0.641061262,0.8016,0.6749,0.9042
218,0.645367359,0.7593,0.623,0.8835
219,0.642295713,0.7887,0.658,0.8995
220,0.641974041,0.8236,0.7071,0.9159
221,0.642088703,0.7975,0.6691,0.904
222,0.641750395,0.7972,0.6694,0.9021
223,0.643220039,0.7375,0.5961,0.8637
224,0.647168281,0.6774,0.5264,0.824
225,0.64185666,0.7812,0.6498,0.8953
226,0.641534893,0.789,0.6605,0.9003
227,0.641778597,0.8171,0.6985,0.916
228,0.641830958,0.7692,0.6313,0.8812
229,0.642919537,0.8063,0.6828,0.904
230,0.641136342,0.8248,0.7076,0.9176
231,0.642239825,0.8231,0.7062,0.9206
232,0.640907509,0.8321,0.7167,0.9189
233,0.643264121,0.8041,0.6781,0.9107
234,0.642286828,0.8026,0.6769,0.9059
235,0.643264033,0.7921,0.6636,0.8993
236,0.64184392,0.8261,0.7122,0.9222
237,0.64095294,0.8107,0.6883,0.9108
238,0.643705115,0.8219,0.7039,0.9215
239,0.644008101,0.7032,0.5502,0.8413
240,0.644990455,0.6833,0.5271,0.8267
241,0.641127936,0.8031,0.6775,0.9059
242,0.643882235,0.7815,0.6511,0.8953
243,0.640646472,0.8272,0.7102,0.9193
244,0.640978979,0.8172,0.6969,0.9139
245,0.640717311,0.8195,0.7011,0.9186
246,0.641244358,0.7663,0.6309,0.8839
247,0.647939956,0.7103,0.5592,0.8443
248,0.645475308,0.7373,0.5915,0.8638
249,0.641538736,0.8007,0.6748,0.9047
250,0.640567817,0.802,0.6766,0.906
251,0.642587857,0.7769,0.6444,0.8881
252,0.640509511,0.7882,0.658,0.8956
253,0.641267061,0.7964,0.6679,0.9022
254,0.642149443,0.7291,0.5831,0.8577
255,0.64213137,0.7637,0.6248,0.8813
256,0.640675174,0.8094,0.6847,0.9076
257,0.640860444,0.8039,0.6799,0.9072
258,0.642896216,0.7892,0.6599,0.8956
259,0.640879629,0.7616,0.6229,0.8779
260,0.640052703,0.7932,0.6623,0.8979
261,0.641333438,0.7333,0.5901,0.8607
262,0.64108954,0.8172,0.6988,0.9188
263,0.641427511,0.7899,0.6615,0.8982
264,0.643303351,0.7696,0.6321,0.8819
265,0.642636986,0.7267,0.582,0.8547
266,0.640419778,0.7849,0.6501,0.8909
267,0.646016944,0.668,0.5185,0.8123
268,0.640186506,0.8043,0.6777,0.9019
269,0.641160131,0.7875,0.6568,0.8927
270,0.641242795,0.8142,0.6911,0.9113
271,0.643337742,0.7361,0.5922,0.8595
272,0.640313494,0.8362,0.7236,0.9242
273,0.640349474,0.8096,0.6877,0.906
274,0.640088145,0.8044,0.6807,0.9054
275,0.643994043,0.7454,0.6059,0.8733
276,0.640619972,0.7734,0.6405,0.8908
277,0.643910961,0.7249,0.576,0.8519
278,0.641498591,0.7834,0.6524,0.8981
279,0.640385498,0.7922,0.6621,0.8989
280,0.640172428,0.7931,0.6639,0.8995
281,0.643384965,0.627,0.4651,0.7692
282,0.640020826,0.8013,0.6738,0.9037
283,0.640981523,0.757,0.617,0.8762
284,0.640737612,0.7944,0.6676,0.9017
285,0.640095125,0.7782,0.6452,0.89
286,0.639434519,0.8078,0.6841,0.9085
287,0.641835734,0.7826,0.6489,0.8877
288,0.642456381,0.7739,0.6418,0.8862
289,0.641934552,0.7689,0.6321,0.8825
290,0.641098562,0.8211,0.7026,0.9135
291,0.641738528,0.7721,0.6343,0.8811
292,0.639568866,0.8025,0.6756,0.9051
293,0.642050043,0.7219,0.578,0.8572
294,0.641032569,0.8169,0.6985,0.9169
295,0.643111052,0.701,0.5506,0.8407
296,0.64000012,0.7972,0.669,0.901
297,0.640747877,0.8076,0.6827,0.909
298,0.6422467,0.7739,0.6389,0.8898
299,0.641530435,0.7774,0.6452,0.8894
300,0.64117941,0.7939,0.664,0.8998
301,0.641276371,0.7877,0.6564,0.8954
302,0.640024706,0.8035,0.6792,0.9052
303,0.640459194,0.8032,0.6786,0.9062
304,0.639718788,0.8273,0.7117,0.9181
305,0.639778978,0.7786,0.6478,0.8904
306,0.641486103,0.8129,0.6901,0.9112
307,0.640794395,0.7392,0.5945,0.8659
308,0.640122459,0.7756,0.6426,0.8891
309,0.63991528,0.8177,0.6983,0.912
310,0.640788983,0.8017,0.6756,0.9068
311,0.641164444,0.7961,0.6665,0.899
312,0.640274879,0.8165,0.6962,0.9119
313,0.640893667,0.7536,0.6103,0.875
314,0.638998335,0.8143,0.6929,0.9104
315,0.639852174,0.8208,0.7039,0.918
316,0.639924468,0.8297,0.7137,0.9186
317,0.639740784,0.812,0.6904,0.9095
318,0.639492767,0.8079,0.6856,0.9067
