model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
141,0.18690688369365838,0.8219,0.7044,0.9211,
556,0.15528901815414428,0.8661,0.7670,0.9343,
30,0.27305623957744013,0.7553,0.6146,0.8978,
611,0.1532354846596718,0.8592,0.7588,0.9354,
470,0.15332949963899759,0.8639,0.7649,0.9362,
77,0.2055186812694256,0.8003,0.6735,0.9120,
624,0.15294818878173827,0.8605,0.7599,0.9343,
12,0.46038698095541736,0.6079,0.4458,0.8124,
373,0.17933389085989732,0.8343,0.7222,0.9216,
70,0.21495476846511546,0.7924,0.6639,0.9080,
567,0.1553278502363425,0.8611,0.7609,0.9344,
548,0.15106700899509284,0.8634,0.7631,0.9347,
214,0.19812640295578884,0.8263,0.7096,0.9189,
223,0.17917356536938595,0.8232,0.7064,0.9220,
485,0.16061851233243943,0.8583,0.7563,0.9335,
84,0.21150602469077476,0.8093,0.6883,0.9177,
42,0.2378426657273219,0.7825,0.6479,0.8992,
433,0.14758786043295494,0.8580,0.7543,0.9364,
257,0.1785651445388794,0.8341,0.7221,0.9260,
231,0.17472695799974294,0.8301,0.7157,0.9230,
6,0.372860981638615,0.5964,0.4407,0.8390,
44,0.23194155097007751,0.7838,0.6510,0.9083,
352,0.16960192769765853,0.8477,0.7413,0.9289,
147,0.20057077212975574,0.8038,0.6794,0.9108,
374,0.1668131858110428,0.8574,0.7544,0.9320,
403,0.2021249844477727,0.8119,0.6913,0.9104,
344,0.17618943957182076,0.8467,0.7400,0.9258,
300,0.16510933362520658,0.8478,0.7403,0.9309,
318,0.1730286139708299,0.8452,0.7372,0.9285,
98,0.21488588314789991,0.8021,0.6790,0.9159,
641,0.1559626973592318,0.8586,0.7573,0.9332,
288,0.16434126095129895,0.8458,0.7396,0.9305,
199,0.18553038938687397,0.8351,0.7220,0.9247,
97,0.21223847762896464,0.8124,0.6907,0.9126,
386,0.15398923066946177,0.8569,0.7528,0.9321,
568,0.1555991654212658,0.8585,0.7576,0.9339,
365,0.16810255360144835,0.8564,0.7546,0.9329,
590,0.15186213426865064,0.8630,0.7634,0.9359,
446,0.17198199331760405,0.8463,0.7390,0.9291,
572,0.15025812765726676,0.8655,0.7682,0.9356,
535,0.1522972958592268,0.8594,0.7588,0.9356,
501,0.17256689965724945,0.8514,0.7456,0.9282,
169,0.20098142727063253,0.8075,0.6851,0.9110,
102,0.19778362214565276,0.8152,0.6952,0.9190,
401,0.17814229039045482,0.8350,0.7250,0.9249,
282,0.17184689400287775,0.8495,0.7417,0.9294,
456,0.1491179788341889,0.8657,0.7678,0.9365,
457,0.16472549587488175,0.8532,0.7484,0.9298,
114,0.1885490778547067,0.8216,0.7035,0.9206,
23,0.34313634702792534,0.6900,0.5395,0.8431,
123,0.20144566263143832,0.8201,0.7026,0.9197,
309,0.1627690389752388,0.8452,0.7376,0.9292,
129,0.20153617274302701,0.8140,0.6934,0.9204,
573,0.14718440048969708,0.8654,0.7676,0.9355,
225,0.19003946758233584,0.8306,0.7153,0.9213,
509,0.15751091482547613,0.8604,0.7593,0.9329,
294,0.17398120978703865,0.8330,0.7216,0.9257,
523,0.1491313935472415,0.8615,0.7632,0.9351,
100,0.2176374172935119,0.8028,0.6786,0.9087,
45,0.25417448328091546,0.7887,0.6571,0.9078,
209,0.17691477754941354,0.8301,0.7143,0.9225,
159,0.18791280480531547,0.8208,0.7050,0.9167,
65,0.205546308022279,0.7916,0.6613,0.9128,
160,0.19553346989246514,0.8196,0.6991,0.9156,
188,0.19281321248182884,0.8248,0.7076,0.9212,
285,0.1691131128714635,0.8490,0.7410,0.9300,
643,0.152695592550131,0.8577,0.7575,0.9340,
95,0.21433341067570907,0.8100,0.6872,0.9162,
106,0.2064371400154554,0.8127,0.6895,0.9157,
88,0.22351673956100757,0.7781,0.6458,0.9020,
421,0.16458398665373142,0.8571,0.7545,0.9331,
582,0.15858128999288265,0.8576,0.7563,0.9320,
438,0.14968792910759265,0.8649,0.7662,0.9358,
252,0.1721456094430043,0.8443,0.7365,0.9295,
116,0.23254377521001376,0.8131,0.6913,0.9151,
124,0.19277515675012882,0.8271,0.7108,0.9182,
241,0.16945964579398815,0.8432,0.7339,0.9284,
499,0.15167881949589804,0.8646,0.7657,0.9359,
108,0.19613124716740388,0.8186,0.7009,0.9178,
459,0.15476723439418352,0.8652,0.7667,0.9352,
381,0.1444711986069496,0.8620,0.7627,0.9356,
179,0.21433668595093947,0.8086,0.6845,0.9079,
303,0.17671278336873422,0.8368,0.7247,0.9247,
593,0.15015238053523577,0.8609,0.7604,0.9356,
143,0.19727801577402995,0.8207,0.7015,0.9191,
383,0.16980782506557612,0.8507,0.7466,0.9305,
417,0.15365413347115883,0.8536,0.7504,0.9358,
39,0.2328755701963718,0.7802,0.6462,0.9044,
581,0.15268825120650806,0.8628,0.7632,0.9349,
331,0.1600802039870849,0.8487,0.7443,0.9303,
22,0.2737694467489536,0.7510,0.6095,0.8963,
336,0.16364232565347964,0.8460,0.7392,0.9288,
469,0.16539576042156953,0.8600,0.7596,0.9343,
472,0.15879309051311932,0.8689,0.7715,0.9364,
47,0.22732560359514675,0.7836,0.6517,0.9076,
11,0.9383429197164682,0.3589,0.2236,0.2704,
429,0.15137642071797297,0.8597,0.7580,0.9350,
314,0.15808678659108968,0.8524,0.7482,0.9325,
521,0.149188580765174,0.8691,0.7729,0.9370,
237,0.1803910868672224,0.8336,0.7200,0.9261,
31,0.252978555055765,0.7752,0.6407,0.9010,
43,0.24096776212637241,0.7443,0.6045,0.8999,
180,0.1764349007835755,0.8370,0.7245,0.9251,
639,0.1531097500370099,0.8646,0.7655,0.9345,
40,0.28014203630960904,0.7737,0.6372,0.8976,
451,0.17733255521609234,0.8319,0.7189,0.9192,
200,0.1868536780659969,0.8365,0.7249,0.9241,
343,0.18390981956170155,0.8474,0.7409,0.9280,
389,0.1628324875464806,0.8565,0.7526,0.9314,
219,0.16736560784853421,0.8410,0.7309,0.9291,
550,0.1507567307123771,0.8618,0.7611,0.9344,
142,0.21830175060492296,0.8198,0.7008,0.9186,
90,0.2163690857016123,0.8035,0.6784,0.9112,
131,0.19364765286445618,0.8251,0.7108,0.9212,
268,0.1687734700166262,0.8442,0.7352,0.9249,
178,0.18787202697533828,0.8234,0.7065,0.9240,
453,0.15740508414231813,0.8623,0.7613,0.9337,
443,0.1572748980843104,0.8584,0.7581,0.9330,
305,0.16604216889693188,0.8463,0.7401,0.9297,
413,0.15960442882317763,0.8577,0.7571,0.9331,
441,0.15223922385619237,0.8604,0.7589,0.9351,
447,0.15192687683380568,0.8622,0.7635,0.9362,
194,0.17935965210199356,0.8341,0.7212,0.9239,
242,0.18732760101556778,0.8232,0.7082,0.9168,
96,0.23067645751512966,0.7973,0.6691,0.9077,
296,0.20153838166823754,0.8188,0.6995,0.9142,
633,0.1562959070962209,0.8602,0.7611,0.9326,
281,0.18558288973111373,0.8343,0.7201,0.9220,
391,0.15918614119291305,0.8516,0.7461,0.9326,
295,0.15809628883233437,0.8493,0.7430,0.9311,
554,0.14732400591556843,0.8659,0.7667,0.9363,
589,0.1528619502599423,0.8627,0.7627,0.9349,
395,0.1749107438784379,0.8444,0.7387,0.9263,
157,0.17658157956141693,0.8251,0.7076,0.9221,
80,0.2328656235566506,0.8055,0.6821,0.9139,
