model_file,avg_loss,avg_dice,avg_iou,avg_pixel_acc
191,0.19381786825565192,0.8342,0.7210,0.9222,
72,0.22898066020928898,0.7959,0.6684,0.9082,
245,0.1848743336705061,0.8348,0.7225,0.9240,
480,0.1603435796040755,0.8563,0.7537,0.9331,
326,0.17195245142166432,0.8398,0.7290,0.9261,
107,0.20066606517021474,0.8085,0.6843,0.9146,
514,0.15972432173215426,0.8598,0.7586,0.9328,
10,0.3722346700154818,0.5934,0.4334,0.8451,
175,0.18348416846532087,0.8193,0.7023,0.9229,
596,0.1483870383638602,0.8671,0.7687,0.9367,
148,0.18421979340223166,0.8240,0.7077,0.9207,
323,0.1580654794206986,0.8454,0.7376,0.9317,
1,0.436054592866164,0.5936,0.4353,0.8014,
146,0.20997288811665316,0.8009,0.6753,0.9056,
322,0.16601359225236453,0.8490,0.7424,0.9320,
205,0.17543173226026387,0.8400,0.7293,0.9290,
224,0.17684053285763815,0.8311,0.7180,0.9261,
486,0.15709699655954654,0.8566,0.7536,0.9321,
537,0.15069548911773242,0.8674,0.7695,0.9360,
134,0.21901881029972664,0.7994,0.6734,0.9079,
454,0.15111615852667734,0.8611,0.7600,0.9353,
186,0.19010088569842853,0.8224,0.7039,0.9180,
16,0.3787567166181711,0.6213,0.4693,0.8424,
167,0.21064331050102528,0.7917,0.6640,0.9044,
151,0.20634209914849355,0.8246,0.7068,0.9188,
83,0.20115580982886827,0.8188,0.6978,0.9147,
604,0.15640023877987494,0.8582,0.7577,0.9332,
226,0.19178240986970754,0.8180,0.7003,0.9166,
622,0.1527790693136362,0.8620,0.7624,0.9352,
208,0.18038461838777248,0.8389,0.7272,0.9261,
36,0.2459942904802469,0.7539,0.6164,0.8963,
576,0.15632321272905056,0.8627,0.7634,0.9331,
176,0.18997874775758156,0.8313,0.7191,0.9252,
475,0.14729025117479838,0.8693,0.7717,0.9375,
28,0.27370449625528775,0.7595,0.6202,0.8958,
434,0.15571117446972774,0.8576,0.7583,0.9346,
310,0.1712279472213525,0.8490,0.7420,0.9294,
62,0.24431965202093125,0.7681,0.6302,0.8949,
605,0.15355689456829658,0.8621,0.7614,0.9338,
17,0.4052218473874606,0.6166,0.4566,0.8278,
609,0.1493178217456891,0.8669,0.7689,0.9363,
103,0.21657475382089614,0.8088,0.6859,0.9136,
511,0.14498677207873417,0.8674,0.7699,0.9373,
68,0.21062535930138368,0.8021,0.6770,0.9108,
396,0.16726051385586077,0.8559,0.7523,0.9324,
60,0.22733619006780478,0.7714,0.6355,0.9039,
411,0.162742436505281,0.8521,0.7477,0.9309,
349,0.15414505085119834,0.8538,0.7499,0.9327,
517,0.16283357212176688,0.8551,0.7528,0.9320,
564,0.15843779421769655,0.8612,0.7599,0.9332,
57,0.23709556001883286,0.7858,0.6548,0.9012,
588,0.15073982855448356,0.8632,0.7635,0.9349,
560,0.14374576210975648,0.8705,0.7738,0.9380,
359,0.15799243725263157,0.8579,0.7561,0.9350,
600,0.1537024825811386,0.8646,0.7662,0.9356,
461,0.1637889318741285,0.8569,0.7551,0.9331,
419,0.1634962532382745,0.8594,0.7574,0.9339,
602,0.15737551771677458,0.8513,0.7473,0.9331,
518,0.14960841421897594,0.8635,0.7651,0.9363,
133,0.2087064646757566,0.8101,0.6869,0.9120,
477,0.15703382709851632,0.8610,0.7598,0.9355,
584,0.1498463096526953,0.8637,0.7643,0.9361,
299,0.19156810618363895,0.8378,0.7259,0.9231,
534,0.15562886962523828,0.8623,0.7612,0.9338,
436,0.17156877666711806,0.8525,0.7479,0.9295,
541,0.15796322639171895,0.8649,0.7682,0.9352,
320,0.15721149857227618,0.8518,0.7461,0.9304,
220,0.19385586163172355,0.8307,0.7164,0.9199,
528,0.15219152432221633,0.8622,0.7633,0.9360,
335,0.18310480748231595,0.8394,0.7276,0.9238,
532,0.1566691253047723,0.8562,0.7545,0.9331,
569,0.14955788541298645,0.8687,0.7712,0.9371,
527,0.15358970692524543,0.8629,0.7627,0.9352,
458,0.16171176135540008,0.8559,0.7519,0.9330,
406,0.1597292034671857,0.8619,0.7616,0.9326,
356,0.18286597843353564,0.8292,0.7160,0.9220,
292,0.18294068689529713,0.8235,0.7050,0.9155,
136,0.2053626951116782,0.8207,0.7019,0.9154,
266,0.17463129231562982,0.8502,0.7428,0.9294,
52,0.2330073260343992,0.7823,0.6523,0.9018,
561,0.14526032719474571,0.8609,0.7604,0.9365,
221,0.1790357898061092,0.8383,0.7266,0.9244,
342,0.15807741788717417,0.8533,0.7482,0.9337,
189,0.22863182104550875,0.7953,0.6708,0.9046,
601,0.1545194985774847,0.8575,0.7551,0.9336,
353,0.16174326997536878,0.8508,0.7452,0.9315,
495,0.1558283909009053,0.8609,0.7596,0.9343,
594,0.16233586153158774,0.8555,0.7521,0.9305,
482,0.16366097812469188,0.8571,0.7538,0.9338,
519,0.15174571974919393,0.8640,0.7656,0.9351,
607,0.15543856500433043,0.8641,0.7646,0.9337,
505,0.15615010823194797,0.8603,0.7589,0.9336,
650,0.15449896844533773,0.8599,0.7601,0.9340,
173,0.2124708279967308,0.8233,0.7059,0.9152,
130,0.2068401473072859,0.8070,0.6849,0.9116,
587,0.15689905205598245,0.8593,0.7578,0.9335,
603,0.15340295353761085,0.8621,0.7613,0.9340,
26,0.33510282956636867,0.6997,0.5521,0.8488,
235,0.2258631460941755,0.8166,0.6955,0.9114,
545,0.15486167119099545,0.8595,0.7602,0.9341,
426,0.1590837185199444,0.8552,0.7518,0.9323,
524,0.1482845316712673,0.8565,0.7549,0.9364,
164,0.18182709744343392,0.8330,0.7198,0.9232,
287,0.2158852198949227,0.8171,0.6963,0.9085,
244,0.2128883067231912,0.7973,0.6701,0.9051,
46,0.2442698318224687,0.7730,0.6387,0.9027,
25,0.26058282072727496,0.7326,0.5916,0.8902,
330,0.16721553470079714,0.8525,0.7469,0.9292,
33,0.2665813326835632,0.7420,0.5988,0.8925,
364,0.16060853405640677,0.8475,0.7396,0.9296,
362,0.18462974841778096,0.8356,0.7250,0.9211,
250,0.17836965861228796,0.8235,0.7083,0.9205,
484,0.1482489857536096,0.8621,0.7618,0.9368,
525,0.16517917456535192,0.8575,0.7558,0.9318,
558,0.15333394156052516,0.8629,0.7626,0.9357,
73,0.20355795679184108,0.8043,0.6805,0.9153,
163,0.19192837923765182,0.8212,0.7048,0.9196,
580,0.15343227684497834,0.8610,0.7614,0.9349,
649,0.1495652757011927,0.8600,0.7588,0.9342,
246,0.1812594153560125,0.8380,0.7275,0.9244,
259,0.16648682481967486,0.8482,0.7425,0.9298,
258,0.17998690467614395,0.8435,0.7349,0.9276,
255,0.15821621039739023,0.8537,0.7498,0.9307,
229,0.18484929089362806,0.8270,0.7111,0.9184,
230,0.18273628537471479,0.8340,0.7203,0.9213,
265,0.19572113809677272,0.8378,0.7277,0.9232,
197,0.179619620855038,0.8386,0.7279,0.9254,
427,0.16590919276842706,0.8513,0.7456,0.9295,
371,0.159212926030159,0.8614,0.7619,0.9347,
162,0.18932521228606886,0.8304,0.7155,0.9220,
488,0.1692506737433947,0.8527,0.7481,0.9316,
317,0.18108438711899977,0.8384,0.7278,0.9227,
492,0.15058000190899923,0.8635,0.7652,0.9365,
75,0.22661054661640753,0.7997,0.6731,0.9101,
512,0.14756100063140576,0.8660,0.7678,0.9365,
81,0.23125123863036817,0.8058,0.6821,0.9139,
520,0.1504029997266256,0.8643,0.7652,0.9362,
557,0.15533766035850233,0.8592,0.7574,0.9353,
348,0.17710348940812626,0.8383,0.7270,0.9205,
122,0.19611963136838031,0.8090,0.6849,0.9177,
502,0.15174175718655952,0.8649,0.7663,0.9370,
500,0.16612225140516573,0.8506,0.7451,0.9297,
112,0.20572435168119577,0.8103,0.6914,0.9151,
385,0.1959615503366177,0.8285,0.7129,0.9203,
298,0.16683478739399177,0.8450,0.7359,0.9292,
625,0.16251926318957255,0.8562,0.7543,0.9313,
275,0.1755736843897746,0.8449,0.7355,0.9268,
380,0.16300872037043937,0.8536,0.7487,0.9297,
494,0.1684562925535899,0.8497,0.7432,0.9283,
183,0.18893645577705823,0.8266,0.7109,0.9225,
99,0.20393752249387595,0.8081,0.6852,0.9135,
92,0.23688942755644138,0.7921,0.6644,0.9138,
507,0.1564804975803082,0.8538,0.7528,0.9330,
462,0.1547476677940442,0.8611,0.7597,0.9342,
522,0.1568485473210995,0.8616,0.7620,0.9346,
430,0.15362987850721066,0.8631,0.7634,0.9353,
529,0.1584570797590109,0.8555,0.7540,0.9333,
610,0.1505817875266075,0.8612,0.7596,0.9348,
392,0.16278038426087452,0.8550,0.7522,0.9308,
544,0.15486367482405441,0.8632,0.7626,0.9331,
113,0.2232656493782997,0.7983,0.6706,0.9046,
